Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1954,244,292,2.7,3.3,NA,NA,NA,0.05,69,36,223,70,5.880000000000001,19,153,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1955,141,298,2,2.4,2,15.852244144673547,45,0.05555555555555564,62,36,236,66,5.5,11.5,170,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1956,220,319,3.2,6.829999999999998,7,6.732867384927277,50,0.052631578947368356,80,114,239,166,5,17,73,83,215.5,82,1,41,2,254,59.5,170.60000000000002,1,4,1
1957,252,302,3,6.570000000000001,2,6.727603846984229,10,0.05555555555555555,69,97,233,60,12,27,173,NA,229,NA,NA,2,NA,254,59.5,170.60000000000002,NA,1,NA
1958,147,313,2.9,3.6,5,10.948076574274799,44,0.05555555555555555,79,149,234,46,8.1,43.5,188,NA,214,NA,NA,32,NA,254,59.5,170.60000000000002,NA,1,NA
1959,237,283,2,3.6,NA,NA,NA,0.05,72,26,211,117,3.4,7.1,94,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1960,175,288,1.7,2.9199999999999986,NA,NA,NA,0.060275962236746555,91,38,197,43,6.9,19,154,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1961,242,294,1.8,2.3900000000000006,4,4.216741642379848,42,0.05882352941176463,46,13,248,151,2.1,5,97,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1962,68,304,1.7,2.1,NA,NA,NA,0.07142857142857134,81,52,223,53,3.6,36,170,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1963,75,307,2.9,3.6,NA,NA,NA,0.06781609195402297,69,64,238,232,3.4,11,6,122,215,122,2,26,2,254,59.5,170.60000000000002,1,5,1
1964,133,304,2.3,3.5799999999999996,4,7.732056383309308,10,0.05941176470588233,75,38,229,213,4.3,5.4,16,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1965,215,302,4.2,5.6,NA,NA,NA,0.05310150375939848,67,69,235,164,7.66,12,71,83,214,82,2,27,3,254,59.5,170.60000000000002,1,4,1
1966,288,288,4,9.7,4,8.86619645376419,44,0.05291153415453527,77,30,211,60,4.6,21,151,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1967,182,316,4.8,6.2,3,14.916164490090539,46,0.056179775280898875,60,110,256,46,8.25,87.5,210,NA,227,NA,NA,49,NA,254,59.5,170.60000000000002,NA,1,NA
1968,244,294,3.6,5.770000000000001,4,10.011237706293368,1,0.06666666666666667,75,35,219,87,8.2,18,132,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
