siteid,sitename,operator,datasource,COMID,Class
9423350,CARUTHERS C NR IVANPAH CA,USGS,NWIS,10017314,
9424050,CHEMEHUEVI WASH TRIB NR NEEDLES CA,USGS,NWIS,21437781,
9424170,GENE WASH BL GENE WASH RES N PARKER DAM AZ-CAL,USGS,NWIS,21439141,
9427600,DESILT WASH NEAR PARKER DAM-ARIZ.-CALIF,USGS,NWIS,9997056,
9427800,"EUREKA WASH NEAR PARKER DAM, AZ-CA",USGS,NWIS,9997072,
9428200,"COPPER BASIN WASH BELOW COPPER BASIN RESERVOIR,",USGS,NWIS,9997884,
9428530,ARCH C NR EARP CA,USGS,NWIS,9997324,
9429160,"PVID D-10-11-2 SPILL NR BLYTHE, CA",USGS,NWIS,10000578,
9429170,"PVID D-10-11-5 SPILL NR BLYTHE, CA",USGS,NWIS,10000792,
9429190,"P.V.I.D. D-23-1 NEAR BLYTHE, CA",USGS,NWIS,10003578,
9429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",USGS,NWIS,10005030,
9526500,ALL-AMERICAN CANAL ABOVE PILOT KNOB WW CALIF,USGS,NWIS,945030257,
9527000,"PILOT KNOB POWERPLANT AND WASTEWAY NR P.K., CA",USGS,NWIS,21412155,
9527500,"ALL-AMERICAN CANAL BLW PILOT KNOB WASTEWAY, CA",USGS,NWIS,21412155,
9527600,ALL-AMERICAN CNL BLW DR0P 1 POWERPLANT NR CALEXICO,USGS,NWIS,22603749,
9529600,"RESERVATION DRAIN NO. 7 NR BARD, CA",USGS,NWIS,21411847,
9529700,"RESERVATION DRAIN NO. 6 NR. BARD, CA",USGS,NWIS,21411963,
9529800,"RESERVATION DRAIN NO. 2 NR BARD, CA",USGS,NWIS,21412601,
9529900,"RESERVATION DRAIN NO. 3 NR BARD, CA",USGS,NWIS,21412059,
9530400,"RESERVATION DRAIN NO. 11 NR WINTERHAVEN, CA",USGS,NWIS,21412083,
10250600,WILDROSE C NR WILDROSE STATION CA,USGS,NWIS,20215220,
10250800,DARWIN WASH NR DARWIN CA,USGS,NWIS,20215144,7
10251000,BIG DIP C NR STOVEPIPE WELLS CA,USGS,NWIS,20224205,3
10251100,SALT C NR STOVEPIPE WELLS CA,USGS,NWIS,20223871,7
10251259,AMARGOSA RV AT HWY 127 NR CA-NV STATE LINE,USGS,NWIS,20245526,7
10251290,"BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS, CA",USGS,NWIS,20247214,7
10251300,"AMARGOSA RV AT TECOPA, CA",USGS,NWIS,20247268,7
10251330,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",USGS,NWIS,20247386,7
10251335,"WILLOW CK AT CHINA RANCH, CA",USGS,NWIS,20247362,3
10251350,HORSETHIEF C NR TECOPA CA,USGS,NWIS,20247670,
10251375,"AMARGOSA RV AT DUMONT DUNES NR DEATH VALLEY, CA",USGS,NWIS,20229467,7
10252300,CHINA SPRING C NR MOUNTAIN PASS CA,USGS,NWIS,12088255,
10252330,WHEATON WASH NR MOUNTAIN PASS CA,USGS,NWIS,20230861,
10253080,SUNFLOWER WASH NR ESSEX CA,USGS,NWIS,22625338,
10253320,QUAIL WASH NR JOSHUA TREE CA,USGS,NWIS,22629484,3
10253350,FORTYNINE PALMS C NR TWENTYNINE PALMS CA,USGS,NWIS,22630726,3
10253540,CORN SPRINGS WASH NR DESERT CENTER CA,USGS,NWIS,22635690,
10253600,EAGLE C A EAGLE MOUNTAIN CA,USGS,NWIS,22635528,8
10254050,SALT C NR MECCA,USGS,NWIS,22599679,7
10254670,ALAMO R AT DROP 3 NR CALIPATRIA CA,USGS,NWIS,22599625,7
10254730,ALAMO R NR NILAND CA,USGS,NWIS,22598685,7
10254970,NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,USGS,NWIS,22603541,7
10255200,MYER C TRIB NR JACUMBA CA,USGS,NWIS,22601407,8
10255550,NEW R NR WESTMORLAND CA,USGS,NWIS,22599619,7
10255700,SAN FELIPE C NR JULIAN CA,USGS,NWIS,22597605,8
10255800,COYOTE C NR BORREGO SPRINGS CA,USGS,NWIS,22597421,3
10255805,COYOTE C BL BOX CANYON NR BORREGO SPRINGS CA,USGS,NWIS,22595335,3
10255810,BORREGO PALM C NR BORREGO SPRINGS CA,USGS,NWIS,22595619,3
10255820,YAQUI PASS WASH NR BORREGO CA,USGS,NWIS,22595999,8
10255850,VALLECITO C NR JULIAN CA,USGS,NWIS,22600545,8
10255885,SAN FELIPE C NR WESTMORLAND CA,USGS,NWIS,22598811,8
10255895,SF WHITEWATER R NR BANNING CA,USGS,NWIS,22590047,1
10255897,SF WHITEWATER R DIV NR BANNING CA,USGS,NWIS,22590047,1
10256000,WHITEWATER R A WHITE WATER CA,USGS,NWIS,948100222,3
10256050,WHITEWATER MWC DIV A WHITE WATER CA,USGS,NWIS,948100222,3
10256060,WHITEWATER R A WHITEWATER CUT A WHITE WATER CA,USGS,NWIS,948100222,3
10256200,SAN GORGONIO R NR BANNING CA,USGS,NWIS,22591239,3
10256300,SAN GORGONIO R A BANNING CA,USGS,NWIS,22591639,3
10256400,SAN GORGONIO R NR WHITE WATER CA,USGS,NWIS,948100212,8
10256500,SNOW C NR WHITE WATER CA,USGS,NWIS,22593463,3
10257500,FALLS C NR WHITE WATER CA,USGS,NWIS,22591931,3
10257548,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,USGS,NWIS,948100389,3
10257549,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,USGS,NWIS,948100389,3
10257600,MISSION C NR DESERT HOT SPRINGS CA,USGS,NWIS,22590267,3
10257710,CHINO CYN C NR PALM SPRINGS CA,USGS,NWIS,22591957,3
10257720,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,USGS,NWIS,22591957,3
10257800,LONG C NR DESERT HOT SPRINGS CA,USGS,NWIS,22593377,8
10258000,TAHQUITZ C NR PALM SPRINGS CA,USGS,NWIS,22593497,3
10258030,TAHQUITZ C A PALM SPRINGS CA,USGS,NWIS,22593493,3
10258100,PALM CYN C TRIB NR ANZA CA,USGS,NWIS,22593629,
10258500,PALM CYN C NR PALM SPRINGS CA,USGS,NWIS,22593537,3
10258700,MURRAY CYN C NR PALM SPRINGS CA,USGS,NWIS,22593539,3
10259000,ANDREAS C NR PALM SPRINGS CA,USGS,NWIS,22592131,3
10259050,PALM CYN WASH NR CATHEDRAL CITY CA,USGS,NWIS,948100382,3
10259100,WHITEWATER R A RANCHO MIRAGE CA,USGS,NWIS,22593529,8
10259200,DEEP C NR PALM DESERT CA,USGS,NWIS,22592497,3
10259300,WHITEWATER R A INDIO CA,USGS,NWIS,22593695,8
10259540,WHITEWATER R NR MECCA,USGS,NWIS,22592737,8
10259600,COTTONWOOD WASH NR COTTONWOOD SPRINGS CA,USGS,NWIS,22594433,
10259920,WASTEWAY NO 1 NR MECCA,USGS,NWIS,22594181,
10260200,PIPES C NR YUCCA VALLEY CA,USGS,NWIS,22630702,3
10260400,CUSHENBURY C NR LUCERNE VALLEY CA,USGS,NWIS,22628698,3
10260470,LITTLE BEAR C AB LK ARROWHEAD A LAKE ARROWHEAD CA,USGS,NWIS,22658679,3
10260480,WILLOW C BL LK ARROWHEAD A LAKE ARROWHEAD CA,USGS,NWIS,948090849,
10260500,DEEP C NR HESPERIA CA,USGS,NWIS,22658309,3
10260620,HOUSTON C AB LK GREGORY A CRESTLINE CA,USGS,NWIS,22658677,
10260630,ABONDIGAS C AB LK GREGORY A CRESTLINE CA,USGS,NWIS,22660237,
10260650,HOUSTON C BL LK GREGORY A CRESTLINE CA,USGS,NWIS,22660087,
10260776,EB CALIFORNIA AQUEDUCT A ALAMO PP NR GORMAN CA,USGS,NWIS,22680612,
10260778,PEARBLOSSOM PUMPING PLANT NR PALMDALE CA,USGS,NWIS,22681804,
10260780,EB CA AQUEDUCT A MOJAVE SIPHON PP NR HESPERIA CA,USGS,NWIS,22660065,
10260782,MOJAVE SIPHON PP BYPASS NR HESPERIA CA,USGS,NWIS,22658457,
10260820,WF MOJAVE R BL SILVERWOOD LK CA,USGS,NWIS,22660067,3
10260822,LAS FLORES REL FROM EB CA AQUEDUCT NR HESPERIA CA,USGS,NWIS,22660067,3
10260855,GRASS VALLEY LK TUNNEL OUTLET A LAKE ARROWHEAD CA,USGS,NWIS,22658651,
10260865,GRASS VALLEY C BL GRASS VLY LK NR LK ARROWHEAD CA,USGS,NWIS,22658631,
10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,USGS,NWIS,22660257,3
10261000,WF MOJAVE R NR HESPERIA CA,USGS,NWIS,22658299,
10261001,WF MOJAVE R AND DEEP C COMBINED CA,USGS,NWIS,22660039,3
10261100,MOJAVE R BL FORKS RES NR HESPERIA CA,USGS,NWIS,22660039,3
10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,USGS,NWIS,948090919,
10261800,BEACON C A HELENDALE CA,USGS,NWIS,22656129,3
10261900,MOJAVE R A WILD CROSSING NR HELENDALE CA,USGS,NWIS,22656129,3
10262000,MOJAVE R NR HODGE CA,USGS,NWIS,948090834,
10262500,MOJAVE R A BARSTOW CA,USGS,NWIS,22656105,
10262600,BOOM C NR BARSTOW CA,USGS,NWIS,22656481,
10263000,MOJAVE R A AFTON CA,USGS,NWIS,948091323,
10263500,BIG ROCK C NR VALYERMO CA,USGS,NWIS,22684930,3
10263630,BIG ROCK C AB PALLETT C NR VALYERMO CA,USGS,NWIS,22683244,3
10263665,PALLETT C A BIG ROCK C NR VALYERMO CA,USGS,NWIS,22683236,
10263675,BIG ROCK C WASH A HWY 138 NR LLANO CA,USGS,NWIS,22681210,3
10263900,BUCKHORN C NR VALYERMO CA,USGS,NWIS,22683630,
10264000,LITTLE ROCK C AB LTTLE ROCK RES NR LITTLEROCK CA,USGS,NWIS,22681934,3
10264100,SANTIAGO CYN C AB LITTLE ROCK C NR LITTLEROCK CA,USGS,NWIS,22681930,3
10264500,LITTLE ROCK C NR PALMDALE CA,USGS,NWIS,22681916,
10264501,LITTLE ROCK C A HWY 138 NR LITTLEROCK CA,USGS,NWIS,22680538,
10264502,PEACH TREE C NR LITTLEROCK CA,USGS,NWIS,22680538,
10264508,SOMERSET C A PALMDALE CA,USGS,NWIS,948090479,
10264510,INN C A PALMDALE CA,USGS,NWIS,948090479,
10264530,PINE C NR PALMDALE CA,USGS,NWIS,22680512,3
10264550,CITY RANCH C NR PALMDALE CA,USGS,NWIS,948090882,
10264555,ESTATES C NR QUARTZ HILL CA,USGS,NWIS,22680508,
10264560,SPENCER CYN C NR FAIRMONT CA,USGS,NWIS,948090486,3
10264590,COTTONWOOD C NR ROSAMOND CA,USGS,NWIS,22678136,3
10264600,OAK C NR MOJAVE CA,USGS,NWIS,22673708,3
10264605,JOSHUA C NR MOJAVE CA,USGS,NWIS,22673888,3
10264636,SLED TRACK CN A LANCASTER BLVD NR ROGERS LAKE CA,USGS,NWIS,22680970,
10264640,BUCKHORN C A E 120TH AVE NR ROGERS LAKE CA,USGS,NWIS,22680842,7
10264658,MOJAVE C A FORBES AVE A EDWARDS AFB CA,USGS,NWIS,22680842,7
10264660,MOJAVE C A ROSAMOND BLVD A EDWARDS CA,USGS,NWIS,22680842,7
10264675,ROGERS LK TRIB A EDWARDS AFB CA,USGS,NWIS,22680708,7
10264682,MESCAL C NR PINON HILLS CA,USGS,NWIS,22683388,3
10264710,GOLER GULCH NR RANDSBURG CA,USGS,NWIS,22675464,
10264740,CACHE C NR MOJAVE CA,USGS,NWIS,22673480,3
10264750,PINE TREE C NR MOJAVE CA,USGS,NWIS,948090915,
10264770,COTTONWOOD C NR CANTIL CA,USGS,NWIS,948090342,3
10264870,LITTLE LAKE C NR LITTLE LAKE CA,USGS,NWIS,20206492,
10264878,NINEMILE C NR BROWN CA,USGS,NWIS,20206536,
10265100,DEADMAN C A BIG SPRINGS NR CRESTVIEW CA,USGS,NWIS,20274997,1
10265150,HOT C A FLUME NR MAMMOTH LAKES CA,USGS,NWIS,20273931,
10265160,"LITTLE HOT C BL HOT SPR NR MAMMOTH LAKES, CA",USGS,NWIS,20273895,
10265200,CONVICT C NR MAMMOTH LAKES CA,USGS,NWIS,20274121,1
10265500,OWENS R NR ROUND VALLEY CA,USGS,NWIS,20277709,1
10268000,OWENS R A PLEASANT VALLEY NR BISHOP CA,USGS,NWIS,20277907,1
10268282,BIRCH C BL DIV DAM NR BISHOP CA,USGS,NWIS,20277789,
10270800,SF BISHOP C BL S LK NR BISHOP CA,USGS,NWIS,20277159,1
10270830,SF BISHOP C BL SF DIV DAM NR BISHOP CA,USGS,NWIS,20277797,1
10270872,MF BISHOP C BL LK SABRINA NR BISHOP CA,USGS,NWIS,20277013,1
10270877,MF BISHOP C BL INTAKE NO 2 RES NR BISHOP CA,USGS,NWIS,20277941,1
10270885,BISHOP C BL INTAKE NO 3 DIV DAM NR BISHOP CA,USGS,NWIS,20277779,1
10270940,BISHOP C BL INTAKE NO 4 DIV DAM NR BISHOP CA,USGS,NWIS,20277765,1
10270960,COYOTE C NR BISHOP CA,USGS,NWIS,20277765,1
10270970,BISHOP C BL INTAKE NO 5 DIV DAM NR BISHOP CA,USGS,NWIS,20277761,1
10271200,BISHOP C AB PP NO 6 NR BISHOP CA,USGS,NWIS,20277761,1
10271210,BISHOP C BL PP NO 6 NR BISHOP CA (ACTUAL) CA,USGS,NWIS,20277761,1
10271211,BISHOP C BL PP NO 6 NR BISHOP CA (NATURAL) CA,USGS,NWIS,20277761,1
10276000,BIG PINE C NR BIG PINE CA,USGS,NWIS,20277261,
10276001,COMBINED Q BIG PINE C & GIROUX DITCH CA,USGS,NWIS,20277261,
10276500,TINEMAHA C NR BIG PINE CA,USGS,NWIS,20277439,1
10277000,BIRCH C NR BIG PINE CA,USGS,NWIS,20277423,1
10277400,OWENS R BL TINEMAHA RE NR BIG PINE CA,USGS,NWIS,20277855,5
10277500,OWENS R NR BIG PINE CA,USGS,NWIS,20265515,5
10278000,TABOOSE C NR ABERDEEN CA,USGS,NWIS,20267005,
10278500,GOODALE C NR ABERDEEN CA,USGS,NWIS,20267009,3
10281500,OAK C NR INDEPENDENCE CA,USGS,NWIS,20267019,1
10281800,INDEPENDENCE C BL PINYON C NR INDEPENDENCE CA,USGS,NWIS,20267023,1
10282000,INDEPENDENCE C NR INDEPENDENCE CA,USGS,NWIS,20267023,1
10282480,MAZOURKA C NR INDEPENDENCE CA,USGS,NWIS,20266581,3
10284800,INYO C NR LONE PINE CA,USGS,NWIS,20266795,
10285500,TUTTLE C NR LONE PINE CA,USGS,NWIS,20266819,1
10285700,OWENS R A KEELER BRIDGE NR LONE PINE CA,USGS,NWIS,20266801,7
10286000,COTTONWOOD C NR OLANCHA CA,USGS,NWIS,20267693,
10286001,COTTONWOOD C NR OLANCHA CA.+ PH CA,USGS,NWIS,20267693,
10286002,COTTONWOOD C DIV TO PH CA,USGS,NWIS,20267693,
10287069,MILL C BL LUNDY LK NR LEE VINING CA,USGS,NWIS,20286400,1
10287070,MILL C BL LUNDY LK NR MONO LK(ACTUAL) CA,USGS,NWIS,20286400,1
10287071,MILL C BL LUNDY LK NR MONO LK NATURAL FLOW CA,USGS,NWIS,20286400,1
10287145,UP CONWAY D NR LEE VINING CA,USGS,NWIS,20286396,
10287195,LUNDY PP TAILRACE NR LEE VINING CA,USGS,NWIS,20286396,
10287262,RUSH C CONTROLLED REL BL WAUGH LK NR JUNE LAKE CA,USGS,NWIS,20287674,1
10287281,RUSH C CONTROLLED REL BL GEM LAKE NR JUNE LAKE CA,USGS,NWIS,20287684,1
10287289,RUSH C AT FLUME BL AGNEW LAKE NR JUNE LAKE CA,USGS,NWIS,20287432,1
10287290,RUSH C BL AGNEW LK NR JUNE LAKE CA (ACTUAL) CA,USGS,NWIS,20287432,1
10287291,RUSH C BL AGNEW LK NR JUNE LAKE CA (NAT FLOW),USGS,NWIS,20287432,1
10287300,RUSH C PP TAILRACE NR JUNE LAKE CA,USGS,NWIS,20287602,
10287400,RUSH C AB GRANT LK NR JUNE LK CA,USGS,NWIS,20287402,1
10287655,LEE VINING C BL SADDLEBAG LK NR LEE VINING CA,USGS,NWIS,20287270,1
10287720,GLACIER C BL TIOGA LK NR LEE VINING CA,USGS,NWIS,20287628,1
10287762,POOLE PP CONDUIT INTAKE NR LEE VINING CA,USGS,NWIS,20287584,1
10287770,LEE VINING C BL RHINEDOLLAR DAM NR LEE VINING CA,USGS,NWIS,20287584,1
10287780,LEE VINING C BL POOLE PP NR LEE VINING CA,USGS,NWIS,20287578,1
10287900,LEE VINING C NR LEE VINING CA,USGS,NWIS,20287304,1
10289000,"VIRGINIA CK NR BRIDGEPORT, CA",USGS,NWIS,8915923,
10289500,"GREEN CK NR BRIDGEPORT, CA",USGS,NWIS,8915933,
10290000,SUMMERS C NR BRIDGEPORT CA,USGS,NWIS,8915411,
10290500,"ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA",USGS,NWIS,8915935,
10291500,"BUCKEYE CK NR BRIDGEPORT, CA",USGS,NWIS,8915907,
10292000,"SWAUGER CK NR BRIDGEPORT, CA",USGS,NWIS,8915871,
10293000,"E WALKER RV NR BRIDGEPORT, CA",USGS,NWIS,8915857,
10295200,W WALKER R A LEAVITT MD NR COLEVILLE CA,USGS,NWIS,10744570,
10295500,"L WALKER RV NR BRIDGEPORT, CA",USGS,NWIS,10744456,
10296000,"W WALKER RV BLW L WALKER RV NR COLEVILLE, CA",USGS,NWIS,10744424,
10296500,"W WALKER RV NR COLEVILLE, CA",USGS,NWIS,946050152,
10296700,"W WALKER RV BLW TOPAZ CANAL DIV NR TOPAZ, CA",USGS,NWIS,10742456,
10296750,"TOPAZ CANAL BLW DIV W WALKER RVR NR TOPAZ, CA",USGS,NWIS,10742458,
10302500,"E FK CARSON RV ABV SODA SPGS RANGER STATION, CA",USGS,NWIS,8924901,
10303000,SILVER KING C NR COLEVILLE CA,USGS,NWIS,8923315,
10303500,EF CARSON R ASKV NR MARKLEEVILLE CA,USGS,NWIS,8923151,
10304500,"SILVER CK BLW PENN CR NR MARKLEEVILLE, CA",USGS,NWIS,8924117,
10308000,"MARKLEEVILLE CK A MARKLEEVILLE, CA",USGS,NWIS,8922789,
10308200,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE,USGS,NWIS,8922715,
10308783,LEVIATHAN C AB MINE NR MARKLEEVILLE CA,USGS,NWIS,8922761,
10308784,LEVIATHAN MINE ADIT DRAIN NR MARKLEEVILLE CA,USGS,NWIS,8922761,
10308785,LEVIATHAN MINE PIT FLOW NR MARKLEEVILLE CA,USGS,NWIS,8922761,
103087853,LEVIATHAN MINE POND 1 NR MARKLEEVILLE CA,USGS,NWIS,8922761,
103087865,UNNAMED TRIB 2 TO LEVIATHAN C AT LEVIATHAN MINE CA,USGS,NWIS,8922761,
103087889,4L C NR MARKLEEVILLE CA,USGS,NWIS,8922717,
10308789,LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA,USGS,NWIS,8922717,
103087891,ASPEN C ABV LEVIATHAN MINE NR MARKLEEVILLE CA,USGS,NWIS,8922743,
10308792,LEVIATHAN C AB MOUNTAINEER C NR MARKLEEVILLE CA,USGS,NWIS,8922677,
10308794,BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA,USGS,NWIS,8922665,
10309025,"INDIAN CK AT WOODFORDS, CA",USGS,NWIS,8922647,
10309030,"INDIAN CK AT DIAMOND VALLEY NR PAYNESVILLE, CA",USGS,NWIS,946050165,
10310000,"W FK CARSON RV AT WOODFORDS, CA",USGS,NWIS,8924041,
10310300,"FREDERICKSBURG CYN CK NR FREDERICKSBURG, CA",USGS,NWIS,8922335,
10336580,UPPER TRUCKEE RV AT S UPPER TRUCKEE RD NR MEYERS,USGS,NWIS,8943705,
10336593,GRASS LK C NR MEYERS CA,USGS,NWIS,8943701,
10336600,UP TRUCKEE R NR MEYERS CA,USGS,NWIS,8943685,
103366092,"UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA",USGS,NWIS,8943677,
103366097,ANGORA CK NR MOUTH AT LAKE TAHOE GOLF COURSE,USGS,NWIS,8943621,
10336610,"UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA",USGS,NWIS,8944439,
10336626,TAYLOR C NR CAMP RICHARDSON CA,USGS,NWIS,8943577,
10336630,EAGLE C NR CAMP RICHARDSON CA,USGS,NWIS,8943539,
10336640,MEEKS C A MEEKS BAY CA,USGS,NWIS,8941735,
10336645,GENERAL C NR MEEKS BAY CA,USGS,NWIS,8941733,
10336650,QUAIL LK C A HOMEWOOD CA,USGS,NWIS,8941713,
10336655,MADDEN C NR HOMEWOOD CA,USGS,NWIS,8941705,
10336658,MADDEN C A HOMEWOOD CA,USGS,NWIS,8941705,
10336660,BLACKWOOD C NR TAHOE CITY CA,USGS,NWIS,8941693,
